Estuary,Station,Date,Transect,Habitat,Method,Quadrat,ScientificName,CommonName,Status,EstimatedCover,TallestPlantHeight,Tide,VegetatedCover,NonVegetatedCover
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Frankenia salina,alkali heath,native,2,10,open,97,3
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Arthrocnemum subterminale,Parish's glasswort,native,10,27,open,83,17
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Jaumea carnosa,fleshy jaumea,native,18,19,open,83,17
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Distichlis spicata,salt grass,native,10,20,open,83,17
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Salicornia pacifica,Pickleweed,native,5,22,open,83,17
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Isocoma menziesii,coastal goldenbush,native,7,30,open,83,17
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Distichlis spicata,salt grass,native,20,15,open,83,17
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Distichlis spicata,salt grass,native,10,28,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Distichlis spicata,salt grass,native,35,6,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Salicornia pacifica,Pickleweed,native,10,68,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Jaumea carnosa,fleshy jaumea,native,2,12,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Salicornia pacifica,Pickleweed,native,5,26,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Frankenia salina,alkali heath,native,1,7,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Frankenia salina,alkali heath,native,1,23,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Isocoma menziesii,coastal goldenbush,native,3,68,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Distichlis spicata,salt grass,native,2,40,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Distichlis spicata,salt grass,native,5,23,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Salicornia pacifica,Pickleweed,native,1,7,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Jaumea carnosa,fleshy jaumea,native,5,22,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,5,Juncus acutus,spiny rush,native,20,90,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,5,Salicornia pacifica,Pickleweed,native,40,50,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,5,Jaumea carnosa,fleshy jaumea,native,35,22,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,5,Frankenia salina,alkali heath,native,1,7,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,1,Schoenoplectus californicus,southern bulrush,native,60,22,open,60,40
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,2,Schoenoplectus californicus,southern bulrush,native,25,190,open,85,15
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,2,Schoenoplectus californicus,southern bulrush,native,60,0,open,85,15
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,2,Jaumea carnosa,fleshy jaumea,native,1,2,open,85,15
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,2,Salicornia bigelovii,dwarf glasswort,native,1,8,open,85,15
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,3,Jaumea carnosa,fleshy jaumea,native,10,11,open,15,85
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,3,Salicornia bigelovii,dwarf glasswort,native,5,5,open,15,85
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,4,Schoenoplectus californicus,southern bulrush,native,60,0,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,4,Schoenoplectus californicus,southern bulrush,native,35,184,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,4,Jaumea carnosa,fleshy jaumea,native,1,3,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,5,Schoenoplectus californicus,southern bulrush,native,85,0,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,5,Schoenoplectus californicus,southern bulrush,native,10,203,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,2,Brackish marsh,within_elevation,5,Salicornia pacifica,Pickleweed,native,10,31,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,5,Isocoma menziesii,coastal goldenbush,native,10,50,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,5,Jaumea carnosa,fleshy jaumea,native,15,20,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,5,Distichlis spicata,salt grass,native,10,26,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,5,Distichlis spicata,salt grass,native,45,19,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,5,Juncus acutus,spiny rush,native,2,33,open,95,5
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,4,Salicornia pacifica,Pickleweed,native,30,73,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,4,Frankenia salina,alkali heath,native,5,15,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,4,Jaumea carnosa,fleshy jaumea,native,5,27,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,4,Isocoma menziesii,coastal goldenbush,native,10,56,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,4,Distichlis spicata,salt grass,native,5,33,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,4,Distichlis spicata,salt grass,native,25,19,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,3,Jaumea carnosa,fleshy jaumea,native,5,20,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,3,Isocoma menziesii,coastal goldenbush,native,2,35,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,3,Distichlis spicata,salt grass,native,15,25,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,3,Salicornia pacifica,Pickleweed,native,5,49,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,3,Distichlis spicata,salt grass,native,25,6,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,3,Atriplex semibaccata,Australian saltbush,invasive,2,25,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,2,Atriplex semibaccata,Australian saltbush,invasive,15,71,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,2,Isocoma menziesii,coastal goldenbush,native,10,52,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,2,Distichlis spicata,salt grass,native,5,22,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,2,Distichlis spicata,salt grass,native,30,5,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,2,Frankenia salina,alkali heath,native,2,14,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,2,Polypogon monspeliensis,rabbit's foot Grass,non-native,40,40,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,2,Lysimachia arvensis,scarlet pimpernel,non-native,1,6,open,90,10
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,1,Salicornia pacifica,Pickleweed,native,25,33,open,75,25
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,1,Frankenia salina,alkali heath,native,15,31,open,75,25
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,1,Batis maritima,saltwort,native,5,12,open,75,25
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,1,Distichlis spicata,salt grass,native,10,37,open,75,25
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,1,Distichlis spicata,salt grass,native,15,28,open,75,25
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,1,Cressa truxillensis,alkali weed,native,1,8,open,75,25
Malibu Lagoon,3,2023-04-16T00:00:00Z,3,High marsh,within_elevation,1,Arthrocnemum subterminale,Parish's glasswort,native,5,15,open,75,25
San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,Mid marsh,across_elevation,1,Salicornia pacifica,Pickleweed,native,90,50,low,90,10
San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,Mid marsh,across_elevation,2,Salicornia pacifica,Pickleweed,native,98,40,low,98,2
San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,Mid marsh,across_elevation,3,Salicornia pacifica,Pickleweed,native,75,51,low,75,25
San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,Mid marsh,across_elevation,4,Salicornia pacifica,Pickleweed,native,65,59,low,65,35
San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,Mid marsh,across_elevation,5,Salicornia pacifica,Pickleweed,native,98,58,low,98,2
San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,Mid marsh,across_elevation,5,Jaumea carnosa,fleshy jaumea,native,5,32,low,98,2
San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,Mid marsh,across_elevation,6,Salicornia pacifica,Pickleweed,native,95,50,low,95,5
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Low marsh,across_elevation,1,Spartina foliosa,California cordgrass,native,10,76,low,80,20
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Low marsh,across_elevation,1,Salicornia pacifica,Pickleweed,native,60,54,low,80,20
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,2,Salicornia pacifica,Pickleweed,native,78,59,low,78,22
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,3,Salicornia pacifica,Pickleweed,native,90,59,low,90,10
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,4,Salicornia pacifica,Pickleweed,native,60,34,low,95,5
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,4,Frankenia salina,alkali heath,native,30,33,low,95,5
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,4,Jaumea carnosa,fleshy jaumea,native,30,17,low,95,5
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,6,Salicornia pacifica,Pickleweed,native,10,33,low,100,0
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,6,Frankenia salina,alkali heath,native,95,27,low,100,0
San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,6,Jaumea carnosa,fleshy jaumea,native,5,14,low,100,0
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,1,Spartina foliosa,California cordgrass,native,60,116,low,60,40
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,2,Spartina foliosa,California cordgrass,native,2,54,low,60,40
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,2,Salicornia pacifica,Pickleweed,native,60,52,low,60,40
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,3,Salicornia pacifica,Pickleweed,native,78,49,low,78,22
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,Mid marsh,across_elevation,4,Salicornia pacifica,Pickleweed,native,95,49,low,95,5
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,Mid marsh,across_elevation,5,Salicornia pacifica,Pickleweed,native,60,62,low,100,0
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,Mid marsh,across_elevation,5,Jaumea carnosa,fleshy jaumea,native,55,34,low,100,0
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,High marsh,across_elevation,6,Salicornia pacifica,Pickleweed,native,5,17,low,70,30
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,High marsh,across_elevation,6,Jaumea carnosa,fleshy jaumea,native,30,11,low,70,30
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,High marsh,across_elevation,6,Frankenia salina,alkali heath,native,40,19,low,70,30
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,High marsh,across_elevation,6,Distichlis spicata,salt grass,native,5,30,low,70,30
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,High marsh,across_elevation,6,Cuscuta salina,salt dodder,native,25,13,low,70,30
San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,High marsh,across_elevation,6,Rumex crispus,curly dock,non-native,2,26,low,70,30
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,1,Spartina foliosa,California cordgrass,native,25,100,low,85,15
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,1,Salicornia pacifica,Pickleweed,native,10,55,low,85,15
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,1,Jaumea carnosa,fleshy jaumea,native,8,19,low,85,15
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,1,Batis maritima,saltwort,native,15,20,low,85,15
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,2,Salicornia pacifica,Pickleweed,native,4,17,low,60,40
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,2,Arthrocnemum subterminale,Parish's glasswort,native,10,12,low,60,40
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,2,Batis maritima,saltwort,native,30,11,low,60,40
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,2,Jaumea carnosa,fleshy jaumea,native,8,6,low,60,40
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,2,Suaeda esteroa,estuary seablite,native,5,17,low,60,40
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,3,Salicornia pacifica,Pickleweed,native,2,8,low,20,80
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,3,Arthrocnemum subterminale,Parish's glasswort,native,20,19,low,20,80
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,3,Batis maritima,saltwort,native,5,2,low,20,80
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,3,Distichlis littoralis,shore grass,native,2,7,low,20,80
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,4,Salicornia pacifica,Pickleweed,native,4,16,low,5,95
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,4,Arthrocnemum subterminale,Parish's glasswort,native,3,9,low,5,95
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,5,Salicornia pacifica,Pickleweed,native,16,14,low,18,82
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Low marsh,across_elevation,5,Arthrocnemum subterminale,Parish's glasswort,native,2,12,low,18,82
San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,Mid marsh,across_elevation,6,Salicornia pacifica,Pickleweed,native,20,31,low,20,80
San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,Low marsh,across_elevation,1,Salicornia pacifica,Pickleweed,native,80,67,low,80,20
San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,Low marsh,across_elevation,2,Batis maritima,saltwort,native,90,17,low,90,10
San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,3,Salicornia pacifica,Pickleweed,native,30,31,low,100,0
San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,3,Jaumea carnosa,fleshy jaumea,native,80,17,low,100,0
San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,4,Jaumea carnosa,fleshy jaumea,native,100,16,low,100,0
San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,5,Jaumea carnosa,fleshy jaumea,native,100,21,low,100,0
San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,Mid marsh,across_elevation,6,Jaumea carnosa,fleshy jaumea,native,95,18,low,95,5
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,1,Spartina foliosa,California cordgrass,native,25,95,low,75,25
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,1,Salicornia pacifica,Pickleweed,native,40,42,low,75,25
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,1,Jaumea carnosa,fleshy jaumea,native,50,19,low,75,25
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,2,Spartina foliosa,California cordgrass,native,25,121,low,50,50
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,2,Salicornia pacifica,Pickleweed,native,15,27,low,50,50
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Low marsh,across_elevation,2,Jaumea carnosa,fleshy jaumea,native,5,20,low,50,50
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Mid marsh,across_elevation,4,Salicornia pacifica,Pickleweed,native,20,49,low,100,0
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Mid marsh,across_elevation,4,Jaumea carnosa,fleshy jaumea,native,100,18,low,100,0
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Mid marsh,across_elevation,5,Salicornia pacifica,Pickleweed,native,3,27,low,100,0
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Mid marsh,across_elevation,5,Jaumea carnosa,fleshy jaumea,native,100,17,low,100,0
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Mid marsh,across_elevation,6,Salicornia pacifica,Pickleweed,native,3,35,low,98,2
San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,Mid marsh,across_elevation,6,Jaumea carnosa,fleshy jaumea,native,98,21,low,98,2
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Low marsh,across_elevation,1,Spartina foliosa,California cordgrass,native,3,60,high,65,35
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Low marsh,across_elevation,1,Salicornia pacifica,Pickleweed,native,45,31,high,65,35
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Low marsh,across_elevation,1,Jaumea carnosa,fleshy jaumea,native,25,35,high,65,35
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Mid marsh,across_elevation,2,Frankenia salina,alkali heath,native,65,42,high,98,2
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Mid marsh,across_elevation,2,Jaumea carnosa,fleshy jaumea,native,20,46,high,98,2
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Mid marsh,across_elevation,2,Distichlis spicata,salt grass,native,10,30,high,98,2
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Mid marsh,across_elevation,2,Salicornia pacifica,Pickleweed,native,5,28,high,98,2
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Mid marsh,across_elevation,2,Cuscuta salina,salt dodder,native,60,0,high,98,2
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Mid marsh,across_elevation,3,Frankenia salina,alkali heath,native,30,43,high,65,35
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Mid marsh,across_elevation,3,Salicornia pacifica,Pickleweed,native,40,60,high,65,35
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,Mid marsh,across_elevation,3,Cuscuta salina,salt dodder,native,15,0,high,65,35
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,High marsh,across_elevation,4,Frankenia salina,alkali heath,native,50,47,high,70,30
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,High marsh,across_elevation,4,Salicornia pacifica,Pickleweed,native,25,48,high,70,30
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,High marsh,across_elevation,4,Cuscuta salina,salt dodder,native,20,0,high,70,30
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,High marsh,across_elevation,4,Atriplex prostrata,fat hen,non-native,5,31,high,70,30
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,High marsh,across_elevation,4,Rumex crispus,curly dock,non-native,5,49,high,70,30
San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,High marsh,across_elevation,5,Frankenia salina,alkali heath,native,35,53,high,95,5
